Organization Name,COVID-19 Project Description,Location/Areas Served,Category of People Served,URL
NHS Charities Together,"You can do both those things right now as part of our One Million Claps campaign. Text now and we’ll pass on your message to your local NHS hospital to let them know you’re thinking of them. And 100% of your donation will go to the NHS Charities Together Covid-19 Urgent Appeal to provide food, support and anything else our NHS heroes need.",UK,Healthcare Workers,https://www.nhscharitiestogether.co.uk/one-million-claps/
Australian Red Cross,"Our everyday work continues: from providing financial assistance to people who lost homes in the bushfires, to supporting refugees and their families, and working with people in prison and young people at risk. COVID-19 has made life even harder for many of these people.",Australia,Homeless,https://www.redcross.org.au/stories/covid-19/our-response-to-coronavirus-covid-19
Uday Foundation,"In times of need, every bit of help counts. Help us to fight the coronavirus outbreak in India by helping acutely vulnerable people – the homeless.",India,Homeless,https://www.udayfoundation.org/coronavirus-disease-covid-19/
World Health Organization (WHO),"Donations support WHO’s work, including with partners, to track and understand the spread of the virus; to ensure patients get the care they need and frontline workers get essential supplies and information; and to accelerate research and development of a vaccine and treatments for all who need them. Some donations also support Fund partners UNICEF, for its work on COVID-19 among vulnerable communities including children, and the vaccine development alliance CEPI.",Global,International Organizations,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/donate
UNESCO,"UNESCO is fully committed to supporting governments for distance learning, open science, knowledge and culture sharing, as fundamental means to stand together and tighten the bonds of our shared humanity.",Global,International Organizations,https://en.unesco.org/covid19
GoFundMe,"The COVID-19 crisis hasn’t been easy for anyone, but if you’re a single parent, this time is more challenging than ever. Navigating a volatile job market and learning how to homeschool your children are just a few of the hardships facing single parents during this unprecedented time. To help, we’ve put together a list of resources for single parents during coronavirus—it includes everything from free online games for your kids to ways you can find financial help during coronavirus to pay your bills. ",Global,Single Parents,https://www.gofundme.com/c/blog/coronavirus-resources-single-parents
Center for Disease Control (CDC),Resources to Support People Experiencing Homelessness,USA,Homeless,https://www.cdc.gov/coronavirus/2019-ncov/community/homeless-shelters/index.html
CERF+ COVID-19 Response Fund,"This fund is essential to our rapid and effective response to those artists who are suffering severe health impacts from the coronavirus, ensuring that CERF+ has the funds necessary to respond to this unprecedented crisis.","Montpelier, VT/USA",Artists/Freelance Workers,https://cerfplus.org/covid-19-response-fund/
Food.cy,Food.cy is a catering company that is donating meals to healthcare workers on the frontlines. ,"San Francisco, CA, USA",Healthcare Workers,https://www.catercow.com/cares/foodcy-catering-covid
Arizona Artists and Arts Professionals,"Arizona’s artists and creatives are facing unprecedented loss of income due to the widespread cancellation of events, residencies, and production contracts as a consequence of the coronavirus (COVID-19) pandemic.","Arizona, USA",Artists/Freelance Workers,https://azarts.gov/grant/emergency-relief-fund/
3Arts Chicago Artists,"3Arts is a partner in the Arts for Illinois Relief Fund (AIRF), a statewide effort that provides financial relief to artists and arts organizations with urgent need due to the impact of the COVID-19 pandemic.","Chicago, Illinois, USA",Artists/Freelance Workers,https://3arts.org/artist-relief/
The Baltimore Office of Promotion & the Arts: Arts Council,The Baltimore Artist Emergency Relief Fund is a coalition-led initiative designed to provide direct assistance to Baltimore-based artists and creative entrepreneurs who have lost income due to the COVID-19 crisis.,"Baltimore, MD, USA",Artists/Freelance Workers,https://bopaartscouncil.submittable.com/submit/b5af17f1-5959-46da-a5e2-07aab26150f0/baltimore-artist-emergency-relief-fund?step=submission
City of Berkeley,"Community coming together to support small businesses, arts nonprofits, and residential tenants during the COVID-19 pandemic.","Berkeley, CA, USA",Small Businesses,https://berkeleyrelieffund.org/
Crisis,"At Crisis, we’re delivering ‘essentials’ packages to homeless people. We’re providing people with mobiles, so they can keep in contact and follow health advice. And we’re keeping our services running, to ensure no-one is left isolated and in danger.",UK,Homeless,https://www.crisis.org.uk/get-involved/in-this-together/
